ID,Modello,Difficoltà,Numero tessere,Dimensione scacchiera,Tempo esecuzione (s),Totale tessere,Tessere inserite,Tessere non inserite,solver,batch,Modello_Solver
6,domino_posizione,medium,10,9,300.1423888206482,10,6,4,Gecode,4,domino_posizione_Gecode
6,domino_base,medium,10,9,0.5379664897918701,10,10,0,Gecode,4,domino_base_Gecode
6,domino_inserite,medium,10,9,0.5734012126922607,10,10,0,Gecode,4,domino_inserite_Gecode
7,domino_orientamento,medium,10,9,0.7099287509918213,10,10,0,Gecode,4,domino_orientamento_Gecode
7,domino_posizione,medium,10,9,300.1478538513184,10,5,5,Gecode,4,domino_posizione_Gecode
7,domino_base,medium,10,9,3.337022066116333,10,10,0,Gecode,4,domino_base_Gecode
7,domino_inserite,medium,10,9,191.20339941978452,10,10,0,Gecode,4,domino_inserite_Gecode
8,domino_orientamento,medium,10,6,300.14218497276306,10,8,2,Gecode,4,domino_orientamento_Gecode
8,domino_posizione,medium,10,6,300.1392443180084,10,3,7,Gecode,4,domino_posizione_Gecode
8,domino_base,medium,10,6,300.1357192993164,10,7,3,Gecode,4,domino_base_Gecode
8,domino_inserite,medium,10,6,300.13766145706177,10,7,3,Gecode,4,domino_inserite_Gecode
9,domino_orientamento,hard,12,14,0.5360093116760254,12,12,0,Gecode,4,domino_orientamento_Gecode
9,domino_posizione,hard,12,14,300.1734142303467,12,7,5,Gecode,4,domino_posizione_Gecode
9,domino_base,hard,12,14,3.45605731010437,12,12,0,Gecode,4,domino_base_Gecode
9,domino_inserite,hard,12,14,300.1778383255005,12,9,3,Gecode,4,domino_inserite_Gecode
10,domino_orientamento,hard,20,15,300.45136761665344,20,7,13,Gecode,4,domino_orientamento_Gecode
10,domino_posizione,hard,20,15,300.4512493610382,20,8,12,Gecode,4,domino_posizione_Gecode
10,domino_base,hard,20,15,300.4825463294983,20,8,12,Gecode,4,domino_base_Gecode
10,domino_inserite,hard,20,15,300.44621562957764,20,12,8,Gecode,4,domino_inserite_Gecode
1,domino_base,easy,4,3,0.1203269958496093,4,2,2,chuffed,4,domino_base_chuffed
2,domino_base,easy,3,3,0.1022508144378662,3,2,1,chuffed,4,domino_base_chuffed
3,domino_base,easy,4,3,0.1149117946624755,4,2,2,chuffed,4,domino_base_chuffed
4,domino_base,easy,3,5,0.0971624851226806,3,3,0,chuffed,4,domino_base_chuffed
5,domino_base,medium,6,8,0.159353494644165,6,6,0,chuffed,4,domino_base_chuffed
6,domino_base,medium,10,9,0.472447395324707,10,10,0,chuffed,4,domino_base_chuffed
7,domino_base,medium,10,9,0.4937391281127929,10,10,0,chuffed,4,domino_base_chuffed
8,domino_base,medium,10,6,99.13205361366272,10,8,2,chuffed,4,domino_base_chuffed
9,domino_base,hard,12,14,0.7282798290252686,12,12,0,chuffed,4,domino_base_chuffed
10,domino_base,hard,20,15,8.15969729423523,20,20,0,chuffed,4,domino_base_chuffed
1,domino_orientamento,easy,3,3,0.0990736484527587,3,2,1,Gecode,5,domino_orientamento_Gecode
1,domino_posizione,easy,3,3,0.1033406257629394,3,2,1,Gecode,5,domino_posizione_Gecode
1,domino_base,easy,3,3,0.1006636619567871,3,2,1,Gecode,5,domino_base_Gecode
1,domino_inserite,easy,3,3,0.1022579669952392,3,2,1,Gecode,5,domino_inserite_Gecode
2,domino_orientamento,easy,3,2,0.096013069152832,3,0,3,Gecode,5,domino_orientamento_Gecode
2,domino_posizione,easy,3,2,0.0939602851867675,3,0,3,Gecode,5,domino_posizione_Gecode
2,domino_base,easy,3,2,0.1049792766571044,3,0,3,Gecode,5,domino_base_Gecode
2,domino_inserite,easy,3,2,0.1004953384399414,3,0,3,Gecode,5,domino_inserite_Gecode
3,domino_orientamento,easy,2,2,0.0840294361114502,2,0,2,Gecode,5,domino_orientamento_Gecode
3,domino_posizione,easy,2,2,0.0837960243225097,2,0,2,Gecode,5,domino_posizione_Gecode
3,domino_base,easy,2,2,0.0871703624725341,2,0,2,Gecode,5,domino_base_Gecode
3,domino_inserite,easy,2,2,0.0870528221130371,2,0,2,Gecode,5,domino_inserite_Gecode
4,domino_orientamento,easy,2,3,0.0859806537628173,2,2,0,Gecode,5,domino_orientamento_Gecode
4,domino_posizione,easy,2,3,0.088780403137207,2,2,0,Gecode,5,domino_posizione_Gecode
4,domino_base,easy,2,3,0.0919713973999023,2,2,0,Gecode,5,domino_base_Gecode
4,domino_inserite,easy,2,3,0.0872628688812255,2,2,0,Gecode,5,domino_inserite_Gecode
5,domino_orientamento,medium,10,6,300.1380488872528,10,7,3,Gecode,5,domino_orientamento_Gecode
5,domino_posizione,medium,10,6,300.1472055912018,10,4,6,Gecode,5,domino_posizione_Gecode
5,domino_base,medium,10,6,300.1457016468048,10,7,3,Gecode,5,domino_base_Gecode
5,domino_inserite,medium,10,6,300.1429011821747,10,7,3,Gecode,5,domino_inserite_Gecode
6,domino_orientamento,medium,6,6,0.1597974300384521,6,6,0,Gecode,5,domino_orientamento_Gecode
6,domino_posizione,medium,6,6,10.924735069274902,6,6,0,Gecode,5,domino_posizione_Gecode
6,domino_base,medium,6,6,0.2553374767303467,6,6,0,Gecode,5,domino_base_Gecode
6,domino_inserite,medium,6,6,0.1795630455017089,6,6,0,Gecode,5,domino_inserite_Gecode
7,domino_orientamento,medium,9,10,0.2830793857574463,9,9,0,Gecode,5,domino_orientamento_Gecode
7,domino_posizione,medium,9,10,300.11269187927246,9,5,4,Gecode,5,domino_posizione_Gecode
7,domino_base,medium,9,10,0.3278021812438965,9,9,0,Gecode,5,domino_base_Gecode
7,domino_inserite,medium,9,10,300.1137566566468,9,8,1,Gecode,5,domino_inserite_Gecode
